Food_Name,Ingredients,diet,prep_time,cook_time,flavor_profile,course,state,region
Aloo gobi,"Cauliflower, potato ",vegetarian,10,20,spicy,main course,Punjab,North
Aloo Posto,"potato, tomato",vegetarian,10,25,spicy,main course,West Bengal,East
Aloo Posto,"Potato, tomato",vegetarian,10,25,spicy,main course,West Bengal,East
Aloo tikki,"potato, capsicum, mushroom",vegetarian,5,20,spicy,main course,Punjab,North
Alu Pitika,"Potato, coriander, fish, green chillies",non vegetarian,5,20,spicy,main course,Assam,North East
Alur Dom (Bengali Style),"Potatoes, tomato, capsicum",vegetarian,10,35,spicy,main course,West Bengal,East
Basanti Pulao,"Gobindobhog rice, ghee, cashews, raisins, saffron",vegetarian,10,30,sweet,main course,West Bengal,East
Beguni,"Brinjal, besan ",vegetarian,10,20,spicy,snack,West Bengal,East
Beguni,"Brinjal, besan ",vegetarian,10,20,spicy,snack,West Bengal,East
Bengena Pitika,"Brinjal, onions, coriander",vegetarian,-1,-1,-1,main course,Assam,North East
Bhapa Doi,"milk, cardamom",vegetarian,10,30,sweet,dessert,West Bengal,East
Bhatura,"Chana dal, tomato",vegetarian,20,20,spicy,main course,Punjab,North
Bhindi masala,"Ladies finger, tomato",vegetarian,20,30,spicy,main course,Punjab,North
Bhujia,Gram flour,vegetarian,-1,-1,spicy,snack,West Bengal,East
Bhujia,Gram flour,vegetarian,-1,-1,spicy,snack,West Bengal,East
Biryani,"chicken, basmati rice, ghee",non vegetarian,30,120,spicy,main course,Telangana,South
Black rice,"Forbidden black rice, chicken, almonds, garlic powder",non vegetarian,-1,-1,-1,main course,Manipur,North East
Bora Sawul,"moong daal, mustard",vegetarian,-1,-1,spicy,main course,Assam,North East
Brown Rice,"Brown rice, ghee",vegetarian,15,25,-1,main course,-1,-1
Burger,"Burger bun, tomato, patty, chiken",vegetarian,20,20,savory,main course,West Bengal,East
Burger,"Burger bun, tomato, patty, chicken",vegetarian,20,20,savory,main course,West Bengal,East
Butter chicken,"chicken, butter",non vegetarian,10,35,spicy,main course,NCT of Delhi,North
Cake,"Refined flour, sugar, butter, egg",vegetarian,-1,-1,sweet,dessert,West Bengal,East
Cake,"Refined flour, sugar, butter, egg",vegetarian,-1,-1,sweet,dessert,West Bengal,East
Cham cham,"Flour, milk, sugar, saffron",vegetarian,40,60,sweet,dessert,West Bengal,East
Chana masala,"chana dal, tomato ",vegetarian,20,30,spicy,main course,Punjab,North
Chapati,"Whole wheat flour, olive oil",vegetarian,10,10,-1,main course,Maharashtra,West
Cheera Doi,"Rice, milk, curd",vegetarian,-1,-1,sweet,dessert,West Bengal,East
Cheese Balls,"Corn, cheese, vegetable oil",vegetarian,-1,-1,savory,snack,West Bengal,East
Chicken Cutlet,"chicken, bread crumbs",non vegetarian,20,30,savory,snack,West Bengal,East
Chicken Lollipop,"chicken, corn flour",non vegetarian,20,25,spicy,starter,West Bengal,East
Chicken Lollipop,"chicken, corn flour",non vegetarian,20,25,spicy,starter,West Bengal,East
Chicken Popcorn,"chicken, bread crumbs",non vegetarian,20,20,savory,snack,West Bengal,East
Chicken Popcorn,"chicken, bread crumbs",non vegetarian,20,20,savory,snack,West Bengal,East
Chicken Puff,"Pufc pastry, chicken",non vegetarian,10,25,savory,snack,West Bengal,East
Chicken razala,"chicken, butter, cashew, saffron",non vegetarian,10,35,spicy,main course,West Bengal,East
Chicken Roll,"chicken, paratha",non vegetarian,20,30,spicy,snack,West Bengal,East
Chicken Roll,"chicken, paratha",non vegetarian,20,30,spicy,snack,West Bengal,East
Chicken Tikka,"chicken, egg",non vegetarian,120,45,spicy,starter,Punjab,North
Chilli Chicken Style,"chicken, capsicum",non vegetarian,15,25,spicy,starter,West Bengal,East
Chilli Chicken Style,"chicken, green chilies, tomato",non vegetarian,15,25,spicy,starter,West Bengal,East
Chilli Paneer Style,"paneer, capsicum",vegetarian,15,25,spicy,starter,West Bengal,East
Chingri Bhape,"Coconut, prawn, curd, mustard ",non vegetarian,15,30,-1,main course,West Bengal,East
Chingri Bhorta,"prawn, tomato ",non vegetarian,10,15,spicy,side dish,West Bengal,East
Chingri Cutlet,"pawn, potato, bread crumbs",non vegetarian,25,30,spicy,snack,West Bengal,East
Chingri Machher Malaikari,"pawn, capsicum, milk",non vegetarian,15,40,spicy,main course,West Bengal,East
Chingri Machher Malaikari,"pawn, capsicum, milk",non vegetarian,15,40,spicy,main course,West Bengal,East
Chingri malai curry,"milk, tomato, capsicum",non vegetarian,10,40,spicy,main course,West Bengal,East
Chirer Pulao,"peanuts, coconut, green chilies",vegetarian,10,20,spicy,main course,West Bengal,East
Chocolate Bar,"chocolate, sugar, milk, butter",vegetarian,-1,-1,sweet,snack,West Bengal,East
Chocolate Bar,"chocolate, sugar, milk, butter",vegetarian,-1,-1,sweet,snack,West Bengal,East
Chocolate Cake,"Flour, chocolate, sugar, egg, butter, milk",vegetarian,15,45,sweet,dessert,West Bengal,East
Cholar Torkari,"chana dal, potato, tomato, capsicum",vegetarian,10,30,sweet,main course,West Bengal,East
Chole bhature,"chana dal, bhatura, tomato, capsicum",vegetarian,20,30,spicy,main course,Punjab,North
Chop Cutlet (Veg),"Beetroot, potato, bread crumbs",vegetarian,20,30,spicy,snack,West Bengal,East
Chowmein,"Noodles, cabbage, egg, chicken",vegetarian,15,20,savory,main course,West Bengal,East
Churma Ladoo,"Whole wheat flour, ghee",vegetarian,12,40,sweet,dessert,Rajasthan,West
Coconut vadi,"coconaut, milk, almond, cashews",vegetarian,20,30,sweet,dessert,Maharashtra,West
+Cornflakes,"Corn, sugar, malt flavoring",vegetarian,-1,-1,sweet,breakfast,West Bengal,East
Cornflakes,"Corn, sugar",vegetarian,-1,-1,sweet,breakfast,West Bengal,East
Cream Biscuit,"Refined flour, sugar, milk",vegetarian,-1,-1,sweet,snack,West Bengal,East
Cream Roll,"Refined flour, sugar, milk",vegetarian,-1,-1,sweet,snack,West Bengal,East
Cream Roll,"Refined flour, sugar, cream filling",vegetarian,-1,-1,sweet,snack,West Bengal,East
Cup Noodles,Wheat noodles,vegetarian,2,5,savory,snack,West Bengal,East
Cup Noodles,Wheat noodles,vegetarian,2,5,savory,snack,West Bengal,East
Daal puri,"moong dal, chana dal, all purpose flour",vegetarian,30,30,spicy,main course,West Bengal,East
Dahi vada,"Urad dal, milk",vegetarian,30,30,-1,snack,Maharashtra,West
Dal makhani ,"Red kidney beans, moong dal, chana dal",vegetarian,10,60,sweet,main course,Punjab,North
Dhokar Dalna,"chana dal, moong dal tomato",vegetarian,20,40,spicy,main course,West Bengal,East
Dhokla,"moong dal, chana dal, coconut, mustard",vegetarian,10,20,spicy,snack,Gujarat,West
Dim Bhuna,"egg, onion, tomato",non vegetarian,10,30,spicy,main course,West Bengal,East
Dim Bhuna,"egg, onion, tomato",non vegetarian,10,30,spicy,main course,West Bengal,East
Dimer Devil,"egg, potato, bread crumbs",non vegetarian,20,30,spicy,snack,West Bengal,East
Dimer Devil,"egg, potato, bread crumbs",non vegetarian,20,30,spicy,snack,West Bengal,East
Doi Katla,"fish, curd, ginger, milk, tomato",non vegetarian,15,35,spicy,main course,West Bengal,East
Dosa,"chana dal, moong dal, tomato",vegetarian,360,90,spicy,snack,-1,South
Drums of Heaven,"chicken, capsicum, mushroom",non vegetarian,20,30,spicy,starter,West Bengal,East
Drums of Heaven,"chicken, capsicum, mushroom",non vegetarian,20,30,spicy,starter,West Bengal,East
Dudhi halwa,"Bottle gourd, green, raisins, sugar, milk, butter",vegetarian,15,30,sweet,dessert,Gujarat,West
Dum aloo,"Baby potatoes, tomato, capsicum, cashew",vegetarian,20,50,spicy,main course,Jammu & Kashmir,North
Echorer Dalna,"Raw jackfruit, potato, tomato, milk",vegetarian,20,40,spicy,main course,West Bengal,East
Echorer Dalna,"Raw jackfruit, potato, tomato, milk",vegetarian,20,40,spicy,main course,West Bengal,East
Egg Puff,"Puff pastry, egg",non vegetarian,10,25,savory,snack,West Bengal,East
Energy Drink,"Caffeine, sugar, taurine, water",vegetarian,-1,-1,sweet,beverage,West Bengal,East
Energy Drink,"Caffeine, sugar, taurine, water",vegetarian,-1,-1,sweet,beverage,West Bengal,East
Fish and Chips,"fish, potato, batter, oil",non vegetarian,20,30,savory,main course,West Bengal,East
Fish Cutlet,"fish, potato, bread crumbs",non vegetarian,25,30,savory,snack,West Bengal,East
Fish Fry (Bengali Style),fish ,non vegetarian,10,20,spicy,starter,West Bengal,East
Fish Fry (Bengali Style),fish,non vegetarian,10,20,spicy,starter,West Bengal,East
Flavored Milk,"milk, sugar",vegetarian,-1,-1,sweet,beverage,West Bengal,East
French Fries,"Potatoes, oil, salt",vegetarian,10,15,savory,snack,West Bengal,East
French Fries,"Potatoes, oil, salt",vegetarian,10,15,savory,snack,West Bengal,East
Fried Rice,"Rice, capsicum, tomato, soy sauce",vegetarian,10,20,savory,main course,West Bengal,East
Fried Rice,"Rice, capsicum, tomato, soy sauce",vegetarian,10,20,savory,main course,West Bengal,East
Frozen Dessert,"milk, sugar",vegetarian,-1,-1,sweet,dessert,West Bengal,East
Frozen Dessert,"milk, sugar",vegetarian,-1,-1,sweet,dessert,West Bengal,East
Fruit Juice Pack,"Fruit concentrate, water, sugar",vegetarian,-1,-1,sweet,beverage,West Bengal,East
Gajar ka halwa,"Carrots, milk, sugar, ghee, cashews, raisins",vegetarian,15,60,sweet,dessert,Punjab,North
Garlic Bread,"Bread, garlic, butter",vegetarian,10,15,savory,starter,West Bengal,East
Garlic Bread,"Bread, garlic, butter",vegetarian,10,15,savory,starter,West Bengal,East
Ghugni,"Yellow peas, onion, ginger",vegetarian,20,40,spicy,snack,West Bengal,East
Ghugni,"Yellow peas, onion, ginger",vegetarian,20,40,spicy,snack,West Bengal,East
