name,ingredients,diet,prep_time,cook_time,flavor_profile,course,state,region
Aloo gobi,"capsicum, bitter gourd",vegetarian,10,20,spicy,main course,Punjab,North
Aloo Posto,"tomato",vegetarian,10,25,spicy,main course,West Bengal,East
Aloo Posto,"tomato, banana",vegetarian,10,25,spicy,main course,West Bengal,East
Aloo tikki,"capsicum, mushroom, bitter gourd",vegetarian,5,20,spicy,main course,Punjab,North
Alu Pitika,"mustard, coriander",non vegetarian,5,20,spicy,main course,Assam,North East
Alur Dom (Bengali Style),"capsicum, mushroom, bitter gourd",vegetarian,10,35,spicy,main course,West Bengal,East
Basanti Pulao,"peanut, almond, pistachio",vegetarian,10,30,sweet,main course,West Bengal,East
Beguni,"capsicum, mushroom, bitter gourd",vegetarian,10,20,spicy,snack,West Bengal,East
Beguni,"capsicum, mushroom, bitter gourd",vegetarian,10,20,spicy,snack,West Bengal,East
Bengena Pitika,"mustard, coriander",vegetarian,-1,-1,-1,main course,Assam,North East
Bhapa Doi,"milk, butter, cheese, paneer, ghee",vegetarian,10,30,sweet,dessert,West Bengal,East
Bhatura,"capsicum, mushroom, bitter gourd",vegetarian,20,20,spicy,main course,Punjab,North
Bhindi masala,"capsicum, mushroom, bitter gourd",vegetarian,20,30,spicy,main course,Punjab,North
Bhujia,"moong dal, chana dal",vegetarian,-1,-1,spicy,snack,West Bengal,East
Bhujia,"moong dal, chana dal",vegetarian,-1,-1,spicy,snack,West Bengal,East
Biryani,"chicken, mutton",non vegetarian,30,120,spicy,main course,Telangana,South
Black rice,"capsicum, mushroom, bitter gourd",non vegetarian,-1,-1,-1,main course,Manipur,North East
Bora Sawul,"capsicum, mushroom, bitter gourd",vegetarian,-1,-1,spicy,main course,Assam,North East
Brown Rice,"capsicum, mushroom, bitter gourd",vegetarian,15,25,-1,main course,-1,-1
Burger,"capsicum, mushroom, bitter gourd",vegetarian,20,20,savory,main course,West Bengal,East
Burger,"capsicum, mushroom, bitter gourd",vegetarian,20,20,savory,main course,West Bengal,East
Butter chicken,"chicken, mutton",non vegetarian,10,35,spicy,main course,NCT of Delhi,North
Cake,"capsicum, mushroom, bitter gourd",vegetarian,-1,-1,sweet,dessert,West Bengal,East
Cake,"capsicum, mushroom, bitter gourd",vegetarian,-1,-1,sweet,dessert,West Bengal,East
Cham cham,"capsicum, mushroom, bitter gourd",vegetarian,40,60,sweet,dessert,West Bengal,East
Chana masala,"capsicum, mushroom, bitter gourd",vegetarian,20,30,spicy,main course,Punjab,North
Chapati,"capsicum, mushroom, bitter gourd",vegetarian,10,10,-1,main course,Maharashtra,West
Cheera Doi,"milk, butter, cheese, paneer, ghee",vegetarian,-1,-1,sweet,dessert,West Bengal,East
Cheese Balls,"capsicum, mushroom, bitter gourd",vegetarian,-1,-1,savory,snack,West Bengal,East
Chicken Cutlet,"chicken, mutton",non vegetarian,20,30,savory,snack,West Bengal,East
Chicken Lollipop,"chicken, mutton",non vegetarian,20,25,spicy,starter,West Bengal,East
Chicken Lollipop,"chicken, mutton",non vegetarian,20,25,spicy,starter,West Bengal,East
Chicken Popcorn,"chicken, mutton",non vegetarian,20,20,savory,snack,West Bengal,East
Chicken Popcorn,"chicken, mutton",non vegetarian,20,20,savory,snack,West Bengal,East
Chicken Puff,"chicken, mutton",non vegetarian,10,25,savory,snack,West Bengal,East
Chicken razala,"chicken, mutton",non vegetarian,10,35,spicy,main course,West Bengal,East
Chicken Roll,"chicken, mutton",non vegetarian,20,30,spicy,snack,West Bengal,East
Chicken Roll,"chicken, mutton",non vegetarian,20,30,spicy,snack,West Bengal,East
Chicken Tikka,"chicken, mutton",non vegetarian,120,45,spicy,starter,Punjab,North
Chilli Chicken Style,"chicken, mutton",non vegetarian,15,25,spicy,starter,West Bengal,East
Chilli Chicken Style,"chicken, mutton",non vegetarian,15,25,spicy,starter,West Bengal,East
Chilli Paneer Style,"milk, butter, cheese, paneer, ghee",vegetarian,15,25,spicy,starter,West Bengal,East
Chingri Bhape,"fish, prawn",non vegetarian,15,30,-1,main course,West Bengal,East
Chingri Bhorta,"fish, prawn",non vegetarian,10,15,spicy,side dish,West Bengal,East
Chingri Cutlet,"fish, prawn",non vegetarian,25,30,spicy,snack,West Bengal,East
Chingri Machher Malaikari,"fish, prawn",non vegetarian,15,40,spicy,main course,West Bengal,East
Chingri Machher Malaikari,"fish, prawn",non vegetarian,15,40,spicy,main course,West Bengal,East
Chingri malai curry,"fish, prawn",non vegetarian,10,40,spicy,main course,West Bengal,East
Chirer Pulao,"capsicum, mushroom, bitter gourd",vegetarian,10,20,spicy,main course,West Bengal,East
Chocolate Bar,chocolate,vegetarian,-1,-1,sweet,snack,West Bengal,East
Chocolate Bar,chocolate,vegetarian,-1,-1,sweet,snack,West Bengal,East
Chocolate Cake,chocolate,vegetarian,15,45,sweet,dessert,West Bengal,East
Cholar Torkari,"mustard, coriander",vegetarian,10,30,sweet,main course,West Bengal,East
Chole bhature,"moong dal, chana dal",vegetarian,20,30,spicy,main course,Punjab,North
Chop Cutlet (Veg),"capsicum, mushroom, bitter gourd",vegetarian,20,30,spicy,snack,West Bengal,East
Chowmein,"capsicum, mushroom, bitter gourd",vegetarian,15,20,savory,main course,West Bengal,East
Chowmein,"capsicum, mushroom, bitter gourd",vegetarian,15,20,savory,main course,West Bengal,East
Churma Ladoo,"capsicum, mushroom, bitter gourd",vegetarian,12,40,sweet,dessert,Rajasthan,West
Coconut vadi,"capsicum, mushroom, bitter gourd",vegetarian,20,30,sweet,dessert,Maharashtra,West
+Cornflakes,"capsicum, mushroom, bitter gourd",vegetarian,-1,-1,sweet,breakfast,West Bengal,East
Cornflakes,"capsicum, mushroom, bitter gourd",vegetarian,-1,-1,sweet,breakfast,West Bengal,East
Cream Biscuit,"capsicum, mushroom, bitter gourd",vegetarian,-1,-1,sweet,snack,West Bengal,East
Cream Roll,"chicken, mutton",vegetarian,-1,-1,sweet,snack,West Bengal,East
Cream Roll,"chicken, mutton",vegetarian,-1,-1,sweet,snack,West Bengal,East
Cup Noodles,"capsicum, mushroom, bitter gourd",vegetarian,2,5,savory,snack,West Bengal,East
Cup Noodles,"capsicum, mushroom, bitter gourd",vegetarian,2,5,savory,snack,West Bengal,East
Daal puri,"capsicum, mushroom, bitter gourd",vegetarian,30,30,spicy,main course,West Bengal,East
Dahi vada,"capsicum, mushroom, bitter gourd",vegetarian,30,30,-1,snack,Maharashtra,West
Dal makhani ,"moong dal, chana dal",vegetarian,10,60,sweet,main course,Punjab,North
Dhokar Dalna,"moong dal, chana dal",vegetarian,20,40,spicy,main course,West Bengal,East
Dhokla,"moong dal, chana dal",vegetarian,10,20,spicy,snack,Gujarat,West
Dim Bhuna,egg,non vegetarian,10,30,spicy,main course,West Bengal,East
Dim Bhuna,egg,non vegetarian,10,30,spicy,main course,West Bengal,East
Dimer Devil,egg,non vegetarian,20,30,spicy,snack,West Bengal,East
Dimer Devil,egg,non vegetarian,20,30,spicy,snack,West Bengal,East
Doi Katla,"fish, prawn",non vegetarian,15,35,spicy,main course,West Bengal,East
