Food_Name,Ingredients,peanut,almond,pistachio,cashew,milk,butter,cheese,paneer,ghee,egg,fish,prawn,moong dal,chana dal,tomato,banana,capsicum,mushroom,bitter gourd,mustard,chocolate,chicken,mutton
achari aloo,"potato, mustard seeds, pickle spices",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
achari baingan,"eggplant, mustard seeds, pickle spices",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
achari bhindi,"okra, mustard seeds, pickle spices",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
achari gobhi,"cauliflower, mustard seeds, pickle spices",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
achari paneer,"paneer, pickle spices, yogurt, onion",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
achari paneer,"paneer, mustard seeds, pickle spices",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
ada pradhaman,"rice ada, ghee, jaggery, coconut milk",0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
akki payasa,"rice, ghee, milk, sugar",0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
almond pulao,"basmati rice, almond, saffron, ghee",0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
aloo paratha,"potato, whole wheat flour, butter, spices",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
aloo posto,"potato, mustard oil, poppy seeds",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
american chopsuey,"capsicum, noodles, vegetables, sauce",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
amritsari kulcha,"flour, potato, butter, onion",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
